,close,open,low,high,volume
2013-04-01,95.76,93.24,92.72,96.15,2096.01818655
2013-04-02,102.49,95.76,95.75,106.5,7162.106029690001
2013-04-03,141.97,102.49,101.89,142.0,8770.31629006
2013-04-04,131.84,140.72,110.0,158.41,13820.870214249995
2013-04-05,137.29,131.84,129.0,150.0,5994.428485799997
2013-04-06,142.59,137.29,127.09,200.0,7012.76993743
2013-04-07,142.16,142.59,138.5,143.8,4121.934594150001
2013-04-08,175.0,142.15,142.0,176.95,8921.03716604
2013-04-09,190.32,175.0,173.47,198.0,11299.84479577
2013-04-10,231.33,190.32,164.34,248.61,11587.57073656
2013-04-11,174.7,230.02,70.0,259.34,24263.24061266
2013-04-12,83.0,174.7,50.0,178.79,41835.24878342
2013-04-13,107.2,83.0,45.0,118.0,23020.485522799994
2013-04-14,99.5,107.2,85.0,119.0,14932.89245856
2013-04-15,96.79,99.5,81.94,99.99,6103.7940490599985
2013-04-16,56.73,96.8,49.8,99.8,26721.66349389
2013-04-17,78.0,56.79,51.28,82.0,31897.16857394
2013-04-18,92.06,78.0,74.91,101.12,27154.10059321
2013-04-19,129.0,92.06,88.63,130.0,23228.33407746
2013-04-20,118.93,129.0,100.0,140.2,18597.381264300002
2013-04-21,123.72,118.93,118.0,129.79,7881.376781139998
2013-04-22,122.0,125.0,101.0,125.99,16596.698436239996
2013-04-23,125.04,122.0,117.0,126.12,6996.57056868
2013-04-24,139.02,125.04,123.01,143.55,14118.8288701
2013-04-25,154.97,139.02,135.1,161.0,20241.65030665
2013-04-26,130.0,154.97,123.2,170.28,18638.2806205
2013-04-27,138.0,127.75,127.75,139.86,8009.485957620002
2013-04-28,132.0,138.0,125.76,148.61,6814.806353939999
2013-04-29,135.95,132.0,121.57,148.18,5086.511067199999
2013-04-30,144.33,136.28,135.34,151.65,10568.822200449997
2013-05-01,133.8,144.33,130.0,144.99,10505.47468879
2013-05-02,123.99,133.8,104.9,134.31,20741.48378345
2013-05-03,93.22,123.97,90.5,127.24,25189.213124570004
2013-05-04,100.99,92.75,81.5,101.37,24438.76584297999
2013-05-05,110.05,101.0,98.0,118.76,15189.662929440005
2013-05-06,122.15,110.05,106.66,123.19,10495.084945830002
2013-05-07,107.4,122.14,103.06,123.97,17019.62422106
2013-05-08,115.01,107.4,98.77,116.29,14005.630294429995
2013-05-09,112.09,115.02,109.0,116.17,8419.79426373
2013-05-10,111.98,112.09,109.2,112.82,5089.08726111
2013-05-11,113.0,111.98,111.82,119.98,11058.30240316
2013-05-12,116.95,113.0,113.0,117.88,3340.76057886
2013-05-13,114.92,116.94,113.0,117.4,2999.4945425
2013-05-14,116.38,114.95,113.55,117.48,3751.5336253900014
2013-05-15,110.93,116.39,101.72,117.9,15246.85626199
2013-05-16,109.5,110.93,105.0,113.0,9132.18062758
2013-05-17,113.79,109.5,109.0,114.1,6765.37417974
2013-05-18,117.38,113.79,112.98,118.16,9425.07243572
2013-05-19,117.82,117.38,115.99,118.98,3622.67782601
2013-05-20,116.95,117.7,114.03,118.95,4585.60579138
2013-05-21,118.15,116.97,116.0,118.94,4468.66943907
2013-05-22,118.1,118.15,117.0,118.5,4395.482483899999
2013-05-23,119.62,118.15,117.0,119.62,7536.321328780001
2013-05-24,123.8,119.62,118.75,124.2,10282.07543038
2013-05-25,129.01,123.8,122.74,129.94,13038.61771228
2013-05-26,129.2,129.68,126.03,129.7,4384.67353255
2013-05-27,129.92,129.19,128.49,130.42,3988.308036970001
2013-05-28,124.53,129.92,120.33,130.6,8328.08892617
2013-05-29,126.99,124.53,123.0,127.11,5387.180942940002
2013-05-30,129.85,126.98,126.12,130.4,9885.17442994
2013-05-31,127.79,129.16,124.9,131.0,9064.23211304
2013-06-01,128.17,127.79,126.24,129.87,6192.55105218
2013-06-02,128.19,128.19,127.09,128.86,2894.92866057
2013-06-03,118.08,128.19,117.02,128.19,17091.936153050006
2013-06-04,123.0,118.08,117.0,125.01,7899.2834952600015
2013-06-05,119.69,123.0,116.32,123.29,6762.053212159999
2013-06-06,120.05,120.13,119.65,122.74,5160.320516500001
2013-06-07,117.88,120.04,116.85,121.0,5318.4836221000005
2013-06-08,110.41,117.88,107.0,118.12,18772.060502530006
2013-06-09,99.7,110.43,95.0,111.0,11790.50852896
2013-06-10,106.19,99.7,90.0,107.9,28655.721039310003
2013-06-11,104.56,106.56,100.0,106.99,8198.053460279998
2013-06-12,106.83,104.56,104.38,108.0,4992.027933059999
2013-06-13,107.4,106.83,105.01,111.18,7475.942977499999
2013-06-14,101.9,107.4,95.0,108.41,10125.893075999997
2013-06-15,97.27,101.9,95.0,102.14,8736.281838040002
2013-06-16,99.99,97.27,97.21,105.0,4039.92027385
2013-06-17,99.4,99.54,98.0,101.11,4144.223132329998
2013-06-18,101.62,100.17,99.0,102.97,4331.82687767
2013-06-19,105.4,101.18,99.99,108.18,10875.16199913
2013-06-20,106.67,105.39,102.0,107.89,5649.672586639998
2013-06-21,102.53,106.67,90.0,108.0,15702.883895159996
2013-06-22,100.23,102.53,98.5,104.0,5094.392829479999
2013-06-23,100.74,100.23,98.55,103.0,3197.11914866
2013-06-24,99.35,100.92,98.07,102.3,2808.006546810001
2013-06-25,100.56,99.34,95.0,101.0,10715.578624060003
2013-06-26,98.07,100.56,97.45,100.96,3597.434776360001
2013-06-27,98.36,98.1,96.13,99.57,4741.309931520002
2013-06-28,94.11,98.36,91.1,98.42,10471.71501997
2013-06-29,91.01,94.11,86.2,94.74,14174.991388960005
2013-06-30,88.01,91.02,88.0,91.49,3297.60439812
2013-07-01,89.1,88.01,88.01,90.3,2094.47221974
2013-07-02,84.84,89.1,80.94,89.62,24979.993104110006
2013-07-03,86.71,85.16,84.42,89.56,11122.858605990004
2013-07-04,77.15,86.7,70.06,87.82,29770.050894979995
2013-07-05,74.84,77.14,74.62,81.94,12724.796746679995
2013-07-06,68.95,74.84,63.26,76.24,34101.03067727001
2013-07-07,66.37,68.61,63.0,72.88,14706.377002589998
2013-07-08,74.44,65.7,65.7,76.94,13616.541566570002
2013-07-09,73.36,74.44,70.1,76.0,11210.01602419
2013-07-10,75.74,73.36,70.25,76.4,16953.63877717
2013-07-11,86.66,75.76,75.0,89.96,31799.78773582
2013-07-12,95.0,86.66,84.02,98.98,25340.48207149
2013-07-13,87.71,95.0,87.15,100.0,19532.778037490007
2013-07-14,91.35,87.71,87.4,92.49,5363.627455069998
2013-07-15,90.75,91.35,88.11,93.0,5114.547725380001
2013-07-16,93.18,90.75,89.74,95.0,13520.317824629998
2013-07-17,91.74,93.15,89.09,93.69,9658.484843270004
2013-07-18,83.69,91.74,80.12,92.23,13731.03401725
2013-07-19,84.9,83.67,77.0,85.99,15089.46925182
2013-07-20,86.45,84.9,83.21,88.0,8075.32866621
2013-07-21,85.82,86.44,84.27,87.07,4309.95299395
2013-07-22,86.27,85.9,84.25,86.63,3128.928482850001
2013-07-23,85.86,86.25,83.0,87.08,7910.7076707199985
2013-07-24,87.0,85.86,82.0,88.88,13155.213156070005
2013-07-25,87.88,87.0,85.73,88.7,9382.32079372
2013-07-26,89.43,87.88,87.08,90.66,10070.86067383
2013-07-27,88.49,89.43,88.06,91.77,7270.5894955099975
2013-07-28,88.26,88.49,87.8,89.77,2358.98988627
2013-07-29,92.13,88.26,88.09,94.01,9260.548413419998
2013-07-30,93.8,92.13,91.1,94.01,11353.89092244
2013-07-31,98.99,93.8,93.31,100.5,12076.240673959996
2013-08-01,97.33,98.97,95.0,101.0,14641.40988357
2013-08-02,95.15,97.33,93.56,98.25,10455.44432685
2013-08-03,96.71,95.15,93.03,98.71,12274.06903808
2013-08-04,96.27,96.73,93.98,97.0,4360.61483978
2013-08-05,96.98,96.27,95.76,98.0,5005.615646920001
2013-08-06,98.49,96.63,96.0,98.92,10232.507465700002
2013-08-07,97.42,98.49,97.0,98.98,8648.73242274
2013-08-08,96.6,97.42,95.5,98.32,6636.367493290001
2013-08-09,93.84,96.6,91.11,97.14,15592.820926890005
2013-08-10,92.39,93.83,90.0,94.7,11008.13071789
2013-08-11,94.08,92.39,92.2,94.37,2482.847450930001
2013-08-12,94.14,94.08,93.12,94.64,2162.00779824
2013-08-13,95.27,94.14,93.31,96.18,7662.641196999999
2013-08-14,99.74,95.27,95.04,99.89,15357.939171540002
2013-08-15,99.04,99.71,97.36,101.0,16353.90248404
2013-08-16,97.0,99.04,96.52,100.01,9445.78281987
2013-08-17,98.24,97.0,96.5,99.0,8317.767156760001
2013-08-18,98.6,98.24,97.63,99.99,5618.41241018
2013-08-19,102.91,98.6,98.5,102.91,8594.761377599998
2013-08-20,103.17,102.9,100.85,105.16,14834.79832996
2013-08-21,106.44,103.17,100.38,106.76,15727.79822016
2013-08-22,111.5,106.45,105.0,114.0,19668.80085816
2013-08-23,107.23,111.5,107.22,113.02,12913.328727349995
2013-08-24,107.16,107.24,104.2,109.88,7724.26148749
2013-08-25,110.42,107.16,106.64,110.55,5137.806316360001
2013-08-26,112.99,110.42,109.71,113.28,9272.844248600002
2013-08-27,117.5,112.99,110.27,117.93,16633.91925969
2013-08-28,117.21,117.95,116.0,118.93,13572.368898639996
2013-08-29,117.96,117.21,117.0,119.63,10469.47525652
2013-08-30,119.04,117.96,117.74,120.0,8817.744057169999
2013-08-31,125.35,119.04,118.28,126.14,19087.45217422999
2013-09-01,129.41,125.35,125.1,134.95,19865.99070612999
2013-09-02,129.0,129.28,127.51,132.09,8569.11287254
2013-09-03,130.57,129.0,128.52,131.96,7383.427819150002
2013-09-04,129.1,130.1,127.0,131.0,11446.33979827
2013-09-05,121.7,129.1,115.21,129.94,22670.62182792001
2013-09-06,122.23,121.7,116.22,127.5,16701.25490119
2013-09-07,117.98,122.14,115.21,124.54,20358.75502408
2013-09-08,119.48,117.98,117.27,122.16,7707.95901033
2013-09-09,117.59,119.52,116.0,120.11,6068.81743141
2013-09-10,122.99,117.59,115.0,124.13,22167.37834053
2013-09-11,120.19,122.99,119.0,124.26,11106.32711078
2013-09-12,125.51,120.19,118.0,127.99,20532.33794561
2013-09-13,126.78,124.75,123.1,128.5,12816.976908
2013-09-14,127.26,126.78,125.35,128.79,8039.57536335
2013-09-15,124.47,127.26,123.05,127.49,7476.20745392
2013-09-16,125.4,124.47,123.0,126.27,6407.010201899999
2013-09-17,126.38,125.4,124.03,126.71,6797.866026559999
2013-09-18,127.27,126.38,125.87,127.69,9063.40196831
2013-09-19,127.53,127.27,124.2,128.0,13814.33358712
2013-09-20,123.32,127.55,123.0,127.75,11925.82888793
2013-09-21,123.27,123.32,121.16,125.66,8833.4509142
2013-09-22,123.29,123.27,122.22,124.1,3269.68936467
2013-09-23,123.53,123.3,122.35,123.99,3549.4339544400004
2013-09-24,122.72,123.53,121.54,123.99,7449.789956450004
2013-09-25,124.73,122.76,121.77,125.0,12743.97231842
2013-09-26,123.92,124.73,123.23,124.74,5339.35785061
2013-09-27,125.35,124.27,123.0,126.5,10126.414262110002
