,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
2016-12-11 23:34:00,766.49,766.49,766.49,766.49,0.13429477,102.93559826,766.49
2016-12-11 23:35:00,766.49,766.49,766.49,766.49,0.0,0.0,766.49
2016-12-11 23:36:00,766.49,766.49,766.49,766.49,1.303523,999.13734427,766.49
2016-12-11 23:37:00,766.52,766.52,766.48,766.48,15.72189295,12050.551338,766.48221538
2016-12-11 23:38:00,766.48,766.48,766.48,766.48,0.0,0.0,766.48221538
2016-12-11 23:39:00,766.48,766.48,766.48,766.48,0.0,0.0,766.48221538
2016-12-11 23:40:00,766.48,766.48,766.48,766.48,0.0,0.0,766.48221538
2016-12-11 23:41:00,766.48,766.48,766.48,766.48,0.0,0.0,766.48221538
2016-12-11 23:42:00,766.48,766.48,766.48,766.48,0.0,0.0,766.48221538
2016-12-11 23:43:00,766.48,766.48,766.48,766.48,0.0,0.0,766.48221538
2016-12-11 23:44:00,766.48,766.48,766.48,766.48,0.0,0.0,766.48221538
2016-12-11 23:45:00,766.48,766.48,766.48,766.48,0.0,0.0,766.48221538
2016-12-11 23:46:00,766.0,766.0,766.0,766.0,0.146,111.836,766.0
2016-12-11 23:47:00,766.0,766.0,766.0,766.0,0.0,0.0,766.0
2016-12-11 23:48:00,766.0,766.0,766.0,766.0,0.0,0.0,766.0
2016-12-11 23:49:00,766.0,766.0,766.0,766.0,0.0,0.0,766.0
2016-12-11 23:50:00,766.0,766.0,766.0,766.0,0.0,0.0,766.0
2016-12-11 23:51:00,766.0,766.0,766.0,766.0,0.0,0.0,766.0
2016-12-11 23:52:00,766.0,766.0,766.0,766.0,0.049,37.534,766.0
2016-12-11 23:53:00,766.0,766.0,766.0,766.0,0.0,0.0,766.0
2016-12-11 23:54:00,766.0,766.0,766.0,766.0,0.0,0.0,766.0
2016-12-11 23:55:00,766.0,766.0,766.0,766.0,0.0,0.0,766.0
2016-12-11 23:56:00,766.0,766.0,766.0,766.0,0.0,0.0,766.0
2016-12-11 23:57:00,766.0,766.0,766.0,766.0,0.0,0.0,766.0
2016-12-11 23:58:00,766.0,766.0,766.0,766.0,0.0,0.0,766.0
2016-12-11 23:59:00,766.0,766.0,766.0,766.0,0.037000000000000005,28.342,766.0
2016-12-12 00:00:00,766.0,766.0,766.0,766.0,0.0,0.0,766.0
2016-12-12 00:01:00,766.63,766.88,766.63,766.88,7.49727321,5749.502379300001,766.87913302
2016-12-12 00:02:00,766.93,766.93,766.93,766.93,0.02013831,15.444674088,766.93
2016-12-12 00:03:00,766.85,766.89,766.85,766.89,2.94059906,2255.041872,766.86478707
2016-12-12 00:04:00,766.89,766.89,766.89,766.89,0.209712,160.82603568,766.89
2016-12-12 00:05:00,766.04,766.04,766.04,766.04,0.157,120.26828,766.04
2016-12-12 00:06:00,766.9,766.98,766.9,766.98,0.338,259.21364,766.90426036
2016-12-12 00:07:00,766.98,766.98,766.98,766.98,1.10737955,849.33796726,766.98
2016-12-12 00:08:00,767.0,767.0,767.0,767.0,0.94761408,726.81999936,767.0
2016-12-12 00:09:00,767.0,767.0,767.0,767.0,0.0,0.0,767.0
2016-12-12 00:10:00,767.0,767.0,767.0,767.0,0.0292,22.3964,767.0
2016-12-12 00:11:00,767.0,767.0,767.0,767.0,0.0292,22.3964,767.0
2016-12-12 00:12:00,766.26,766.26,766.22,766.22,0.329,252.09055587,766.23269261
2016-12-12 00:13:00,766.99,766.99,766.99,766.99,0.0569,43.641731,766.99
2016-12-12 00:14:00,766.99,766.99,766.99,766.99,0.0,0.0,766.99
2016-12-12 00:15:00,766.99,766.99,766.99,766.99,0.0,0.0,766.99
2016-12-12 00:16:00,766.99,766.99,766.99,766.99,0.0,0.0,766.99
2016-12-12 00:17:00,766.99,766.99,766.99,766.99,0.0,0.0,766.99
2016-12-12 00:18:00,766.01,766.01,766.01,766.01,0.03222422,24.684074761999998,766.01
2016-12-12 00:19:00,766.01,766.01,766.01,766.01,0.0,0.0,766.01
2016-12-12 00:20:00,766.01,766.01,766.01,766.01,0.0,0.0,766.01
2016-12-12 00:21:00,766.01,766.01,766.0,766.0,1.0,766.00394541,766.00394541
2016-12-12 00:22:00,766.0,766.0,766.0,766.0,0.0,0.0,766.00394541
2016-12-12 00:23:00,766.0,766.0,766.0,766.0,0.0,0.0,766.00394541
2016-12-12 00:24:00,766.0,766.0,766.0,766.0,0.0,0.0,766.00394541
2016-12-12 00:25:00,766.96,766.96,766.94,766.94,2.292,1757.8484552999996,766.94958782
2016-12-12 00:26:00,766.94,766.94,766.94,766.94,0.0,0.0,766.94958782
2016-12-12 00:27:00,766.94,766.94,766.94,766.94,0.0,0.0,766.94958782
2016-12-12 00:28:00,766.94,766.94,766.94,766.94,0.0,0.0,766.94958782
2016-12-12 00:29:00,766.94,766.94,766.94,766.94,0.0,0.0,766.94958782
2016-12-12 00:30:00,766.94,766.94,766.94,766.94,0.0,0.0,766.94958782
2016-12-12 00:31:00,767.0,767.58,767.0,767.58,3.72629348,2858.3899975,767.08665404
2016-12-12 00:32:00,767.58,767.58,767.58,767.58,0.0,0.0,767.08665404
2016-12-12 00:33:00,767.58,767.58,767.58,767.58,0.0,0.0,767.08665404
2016-12-12 00:34:00,767.58,767.58,767.58,767.58,0.0,0.0,767.08665404
2016-12-12 00:35:00,767.58,767.58,767.58,767.58,0.0,0.0,767.08665404
2016-12-12 00:36:00,767.72,767.72,767.72,767.72,0.57504224,441.47142849,767.72
2016-12-12 00:37:00,767.94,767.94,767.94,767.94,0.10661,81.8700834,767.94
2016-12-12 00:38:00,767.04,767.04,767.03,767.03,0.0753539,57.799272215,767.03756826
2016-12-12 00:39:00,767.88,767.96,767.88,767.96,0.75187703,577.39700805,767.94074697
2016-12-12 00:40:00,767.03,767.03,767.0,767.0,1.22445,939.17801383,767.02030612
2016-12-12 00:41:00,767.0,767.0,767.0,767.0,0.0,0.0,767.02030612
2016-12-12 00:42:00,767.63,767.63,767.63,767.63,0.25589151,196.42999982,767.63
2016-12-12 00:43:00,767.59,767.59,767.59,767.59,0.30577928,234.71311754,767.59
2016-12-12 00:44:00,767.59,767.59,767.59,767.59,0.0,0.0,767.59
2016-12-12 00:45:00,767.59,767.59,767.59,767.59,0.0,0.0,767.59
2016-12-12 00:46:00,767.01,767.01,767.0,767.0,0.66890957,513.0579984,767.0065154
2016-12-12 00:47:00,767.0,767.0,767.0,767.0,0.0,0.0,767.0065154
2016-12-12 00:48:00,767.0,767.0,767.0,767.0,0.0,0.0,767.0065154
2016-12-12 00:49:00,767.0,767.0,767.0,767.0,0.0,0.0,767.0065154
2016-12-12 00:50:00,767.0,767.0,767.0,767.0,0.0,0.0,767.0065154
2016-12-12 00:51:00,767.0,767.0,767.0,767.0,0.0,0.0,767.0065154
2016-12-12 00:52:00,767.0,767.0,767.0,767.0,0.0,0.0,767.0065154
2016-12-12 00:53:00,767.0,767.0,767.0,767.0,0.0,0.0,767.0065154
2016-12-12 00:54:00,767.0,767.0,767.0,767.0,0.0,0.0,767.0065154
2016-12-12 00:55:00,767.54,767.54,767.54,767.54,0.12996065,99.74999730100001,767.54
2016-12-12 00:56:00,767.56,767.59,767.56,767.59,8.71498169,6689.3211263,767.56571204
2016-12-12 00:57:00,766.0,767.71,765.37,765.4,10.12771735,7752.581186599998,765.48159064
2016-12-12 00:58:00,767.29,767.29,767.29,767.29,0.2,153.458,767.29
2016-12-12 00:59:00,767.29,767.29,767.29,767.29,0.0,0.0,767.29
2016-12-12 01:00:00,767.29,767.29,767.29,767.29,0.0,0.0,767.29
2016-12-12 01:01:00,767.29,767.29,767.29,767.29,0.0,0.0,767.29
2016-12-12 01:02:00,767.29,767.29,767.29,767.29,0.0,0.0,767.29
2016-12-12 01:03:00,767.29,767.29,767.29,767.29,0.0,0.0,767.29
2016-12-12 01:04:00,766.94,766.94,766.94,766.94,0.09595316,73.59031653,766.94
2016-12-12 01:05:00,767.31,767.31,767.31,767.31,0.71678982,549.99999678,767.31
2016-12-12 01:06:00,767.11,767.11,766.99,766.99,0.30392595,233.11699082,767.01904137
2016-12-12 01:07:00,766.99,766.99,766.99,766.99,0.0,0.0,767.01904137
2016-12-12 01:08:00,766.99,766.99,766.99,766.99,0.0,0.0,767.01904137
2016-12-12 01:09:00,766.99,766.99,766.99,766.99,0.0,0.0,767.01904137
2016-12-12 01:10:00,767.59,767.59,767.59,767.59,0.15993115,122.76155143,767.59
2016-12-12 01:11:00,767.59,767.59,767.59,767.59,0.0,0.0,767.59
2016-12-12 01:12:00,768.1,768.74,768.1,768.74,0.37038451,284.72278342,768.72216772
2016-12-12 01:13:00,768.74,768.74,768.74,768.74,0.0,0.0,768.72216772
2016-12-12 01:14:00,768.74,768.74,768.74,768.74,0.0,0.0,768.72216772
2016-12-12 01:15:00,768.88,768.88,768.88,768.88,0.15962503,122.73249307,768.88
2016-12-12 01:16:00,769.18,769.18,769.18,769.18,0.25151693,193.46179222,769.18
2016-12-12 01:17:00,769.18,769.18,769.18,769.18,0.0,0.0,769.18
2016-12-12 01:18:00,768.79,768.79,768.79,768.79,0.06692719999999999,51.452962088,768.79
2016-12-12 01:19:00,768.79,768.79,768.79,768.79,0.0,0.0,768.79
2016-12-12 01:20:00,768.79,768.79,768.79,768.79,0.0,0.0,768.79
2016-12-12 01:21:00,768.79,768.79,768.79,768.79,0.0,0.0,768.79
2016-12-12 01:22:00,769.2,769.2,769.2,769.2,0.04687909,36.059396028,769.2
2016-12-12 01:23:00,769.29,769.29,768.07,768.07,0.51022216,391.92123363,768.1384
2016-12-12 01:24:00,768.07,768.07,768.07,768.07,0.0,0.0,768.1384
2016-12-12 01:25:00,768.07,768.07,768.07,768.07,0.0,0.0,768.1384
2016-12-12 01:26:00,768.07,768.07,768.07,768.07,0.0,0.0,768.1384
2016-12-12 01:27:00,767.61,767.61,767.61,767.61,0.00795427,6.1057771947,767.61
2016-12-12 01:28:00,767.61,767.61,767.61,767.61,0.0,0.0,767.61
2016-12-12 01:29:00,767.61,767.61,767.61,767.61,0.0,0.0,767.61
2016-12-12 01:30:00,767.61,767.61,767.61,767.61,0.0,0.0,767.61
2016-12-12 01:31:00,767.61,767.61,767.61,767.61,0.0,0.0,767.61
2016-12-12 01:32:00,767.61,767.61,767.61,767.61,0.0,0.0,767.61
2016-12-12 01:33:00,767.61,767.61,767.61,767.61,0.0,0.0,767.61
2016-12-12 01:34:00,769.23,769.23,769.23,769.23,0.15890116,122.23153931,769.23
2016-12-12 01:35:00,769.23,769.23,769.23,769.23,0.0,0.0,769.23
2016-12-12 01:36:00,769.23,769.23,769.23,769.23,0.0,0.0,769.23
2016-12-12 01:37:00,769.23,769.23,769.23,769.23,0.0,0.0,769.23
2016-12-12 01:38:00,768.93,768.94,768.93,768.94,1.10503492,849.70295192,768.93764762
2016-12-12 01:39:00,769.02,769.02,769.02,769.02,0.02711231,20.849908636,769.02
2016-12-12 01:40:00,769.02,769.02,769.02,769.02,0.0,0.0,769.02
2016-12-12 01:41:00,769.0,770.2,769.0,770.19,34.5335314,26595.059821000006,770.12279783
2016-12-12 01:42:00,769.0,770.49,769.0,770.49,0.1174757,90.436705857,769.83330048
2016-12-12 01:43:00,770.44,770.44,767.88,767.89,2.32505355,1786.6706798,768.44280847
2016-12-12 01:44:00,770.52,770.52,767.85,767.85,1.14742604,882.78477085,769.36093489
2016-12-12 01:45:00,767.96,770.19,767.96,770.19,0.92871123,713.51465223,768.28472531
2016-12-12 01:46:00,770.19,770.19,770.19,770.19,0.0,0.0,768.28472531
2016-12-12 01:47:00,770.46,770.46,770.46,770.46,0.17512233,134.92475037,770.46
2016-12-12 01:48:00,770.4,770.4,768.08,768.08,0.1904523,146.4884237,769.16069643
2016-12-12 01:49:00,768.08,768.08,768.08,768.08,0.0,0.0,769.16069643
2016-12-12 01:50:00,770.24,770.24,770.09,770.09,0.15918769,122.59340519,770.11862659
2016-12-12 01:51:00,770.09,770.09,770.09,770.09,0.0,0.0,770.11862659
2016-12-12 01:52:00,770.09,770.09,770.09,770.09,0.0,0.0,770.11862659
2016-12-12 01:53:00,769.28,770.22,769.28,770.22,0.06,46.185,769.75
2016-12-12 01:54:00,770.19,770.19,770.17,770.17,0.16826514,129.59533198,770.1852682
2016-12-12 01:55:00,768.85,768.85,768.85,768.85,0.12880769,99.033792456,768.85
2016-12-12 01:56:00,768.85,768.85,768.85,768.85,0.0,0.0,768.85
2016-12-12 01:57:00,770.15,770.15,770.11,770.11,0.44613316,343.5843352,770.13852815
2016-12-12 01:58:00,770.11,770.11,770.11,770.11,0.0,0.0,770.13852815
2016-12-12 01:59:00,770.11,770.11,770.11,770.11,0.0,0.0,770.13852815
2016-12-12 02:00:00,770.11,770.11,770.11,770.11,0.06683982,51.47401378,770.11
2016-12-12 02:01:00,768.84,768.84,768.84,768.84,0.01974829,15.183275284,768.84
2016-12-12 02:02:00,768.84,768.84,768.83,768.83,0.12794936,98.37242367200001,768.83873176
2016-12-12 02:03:00,768.83,768.83,768.83,768.83,0.0,0.0,768.83873176
2016-12-12 02:04:00,770.03,770.06,770.01,770.06,0.22352343,172.1188946,770.0261874
2016-12-12 02:05:00,770.06,770.06,770.06,770.06,0.0,0.0,770.0261874
2016-12-12 02:06:00,770.06,770.06,770.06,770.06,0.0,0.0,770.0261874
2016-12-12 02:07:00,770.06,770.06,770.06,770.06,0.0,0.0,770.0261874
2016-12-12 02:08:00,770.06,770.06,770.06,770.06,0.0,0.0,770.0261874
2016-12-12 02:09:00,770.06,770.06,770.06,770.06,0.0,0.0,770.0261874
2016-12-12 02:10:00,769.84,769.84,769.84,769.84,0.01296373,9.979997903200001,769.84
2016-12-12 02:11:00,768.92,769.79,768.92,769.79,0.31428972,241.82651461,769.43819418
2016-12-12 02:12:00,769.79,769.79,769.79,769.79,0.0,0.0,769.43819418
2016-12-12 02:13:00,768.92,768.92,767.78,767.78,0.15620849,119.967851,767.99827588
2016-12-12 02:14:00,768.92,769.62,768.92,769.59,0.26834246,206.49967474,769.53783138
2016-12-12 02:15:00,769.59,769.59,769.59,769.59,0.0,0.0,769.53783138
2016-12-12 02:16:00,769.59,769.59,769.59,769.59,0.0,0.0,769.53783138
2016-12-12 02:17:00,769.62,769.62,769.0,769.0,2.12535087,1634.4906359,769.04508287
2016-12-12 02:18:00,769.0,769.0,769.0,769.0,1.0,769.0,769.0
2016-12-12 02:19:00,769.0,769.0,769.0,769.0,0.0,0.0,769.0
2016-12-12 02:20:00,769.0,769.0,769.0,769.0,0.0,0.0,769.0
2016-12-12 02:21:00,769.0,769.0,769.0,769.0,0.0,0.0,769.0
2016-12-12 02:22:00,769.0,769.0,769.0,769.0,0.0,0.0,769.0
2016-12-12 02:23:00,769.0,769.0,769.0,769.0,0.0,0.0,769.0
2016-12-12 02:24:00,769.0,769.0,769.0,769.0,0.24118507,185.47131883,769.0
2016-12-12 02:25:00,769.0,769.0,769.0,769.0,0.0,0.0,769.0
2016-12-12 02:26:00,769.0,769.0,769.0,769.0,0.0,0.0,769.0
2016-12-12 02:27:00,769.7,769.7,769.7,769.7,0.12458889,95.896068633,769.7
2016-12-12 02:28:00,769.7,769.7,769.7,769.7,0.0,0.0,769.7
2016-12-12 02:29:00,769.7,769.7,769.7,769.7,0.0,0.0,769.7
2016-12-12 02:30:00,769.7,769.7,769.7,769.7,0.0,0.0,769.7
2016-12-12 02:31:00,769.72,770.01,769.72,770.01,1.29580944,997.50492079,769.7929109
2016-12-12 02:32:00,770.0,770.0,770.0,770.0,0.15931822,122.6750294,770.0
2016-12-12 02:33:00,769.04,769.04,769.04,769.04,0.12458889,95.813839966,769.04
2016-12-12 02:34:00,769.04,769.04,769.04,769.04,0.0,0.0,769.04
2016-12-12 02:35:00,769.04,769.04,769.04,769.04,0.0,0.0,769.04
2016-12-12 02:36:00,769.96,769.96,769.04,769.96,0.46211013,355.79028538,769.92531063
2016-12-12 02:37:00,769.96,769.96,769.96,769.96,0.0,0.0,769.92531063
2016-12-12 02:38:00,769.96,769.96,769.96,769.96,1.29553483,997.50999771,769.96
2016-12-12 02:39:00,769.96,769.96,769.96,769.96,0.0,0.0,769.96
2016-12-12 02:40:00,769.04,769.93,769.03,769.93,0.31688944,243.75595933,769.21452269
2016-12-12 02:41:00,769.93,769.93,769.93,769.93,0.12306142,94.74867910100001,769.93
2016-12-12 02:42:00,769.93,769.96,769.93,769.96,1.94330186,1496.262509,769.9588725
2016-12-12 02:43:00,769.96,769.96,769.96,769.96,0.0,0.0,769.9588725
2016-12-12 02:44:00,769.98,769.98,769.98,769.98,1.41779007,1091.6699981,769.98
2016-12-12 02:45:00,769.98,769.98,769.98,769.98,0.0,0.0,769.98
2016-12-12 02:46:00,769.92,769.92,769.04,769.92,0.51677024,397.76344913,769.71044062
2016-12-12 02:47:00,769.93,769.93,769.93,769.93,0.12229415,94.15793490899999,769.93
2016-12-12 02:48:00,769.04,769.92,769.03,769.03,0.30929415,238.0002494,769.49483007
2016-12-12 02:49:00,769.03,769.03,769.03,769.03,0.0,0.0,769.49483007
2016-12-12 02:50:00,769.03,769.03,769.0,769.0,0.8,615.22088353,769.02610441
2016-12-12 02:51:00,769.79,769.79,769.77,769.77,0.17246575,132.75997886,769.77590544
2016-12-12 02:52:00,769.73,769.73,769.0,769.0,0.14700388,113.06457128,769.12644264
2016-12-12 02:53:00,769.0,769.54,767.77,769.54,6.77002951,5202.3653748000015,768.4405757999998
2016-12-12 02:54:00,769.49,769.51,767.73,767.74,1.7482299,1342.7199985,768.04543758
2016-12-12 02:55:00,767.72,767.72,767.72,767.72,0.15434574,118.49431151,767.72
2016-12-12 02:56:00,767.72,767.72,767.72,767.72,0.0,0.0,767.72
2016-12-12 02:57:00,767.72,767.72,767.72,767.72,0.0,0.0,767.72
2016-12-12 02:58:00,767.72,767.72,767.72,767.72,0.0,0.0,767.72
2016-12-12 02:59:00,767.72,767.72,767.72,767.72,0.0,0.0,767.72
2016-12-12 03:00:00,768.9,768.9,768.9,768.9,0.20232538,155.56798468,768.9
2016-12-12 03:01:00,768.9,768.94,768.9,768.94,2.86566557,2203.497250300001,768.93035717
2016-12-12 03:02:00,769.3,769.3,767.74,767.74,0.4457714,342.50236564,768.3363393
2016-12-12 03:03:00,767.74,767.74,767.74,767.74,0.444,340.87656,767.74
2016-12-12 03:04:00,767.74,767.74,767.74,767.74,0.0,0.0,767.74
2016-12-12 03:05:00,768.0,769.19,768.0,769.19,0.13207174,101.57294339,769.07401532
2016-12-12 03:06:00,769.19,769.19,769.19,769.19,0.0,0.0,769.07401532
2016-12-12 03:07:00,769.19,769.19,769.19,769.19,0.071259,54.81171021,769.19
2016-12-12 03:08:00,769.19,769.2,769.19,769.2,0.31875927,245.1889355,769.19781973
2016-12-12 03:09:00,769.2,769.2,769.2,769.2,0.0,0.0,769.19781973
2016-12-12 03:10:00,769.2,769.2,769.2,769.2,0.0,0.0,769.19781973
2016-12-12 03:11:00,769.2,769.2,769.2,769.2,0.0,0.0,769.19781973
2016-12-12 03:12:00,769.2,769.2,769.2,769.2,0.0,0.0,769.19781973
2016-12-12 03:13:00,768.53,768.53,768.44,768.44,0.48919922,375.95354862,768.50807043
2016-12-12 03:14:00,768.46,768.98,768.43,768.98,1.51350522,1163.1932233,768.54259103
2016-12-12 03:15:00,768.98,768.98,768.98,768.98,0.06693291,51.470069132,768.98
2016-12-12 03:16:00,768.98,768.98,768.98,768.98,0.0,0.0,768.98
